row,label,x,y
0,a,-0.6574,-0.6574
1,adjusts,-0.0369,-0.0369
2,an,-0.1566,-0.1566
3,and,-0.0369,-0.0369
4,applies,-0.0369,-0.0369
5,attention,-0.0982,-0.0982
6,be,4.0094,-0.0688
7,between,-0.0369,-0.0369
8,bias,-0.0982,-0.0982
9,by,-0.0688,-0.0688
10,can,-0.0809,-0.0809
11,change,-0.0369,-0.0369
12,chosen,-0.0688,-0.0688
13,collection,-0.0518,-0.0518
14,conditions,-0.0369,-0.0369
15,corpus,-0.0809,-0.0809
16,create,-0.0369,-0.0369
17,data,4.3550,-0.0369
18,descent,-0.0982,-0.0982
19,determines,-0.0369,-0.0369
20,does,-0.0663,-0.0663
21,during,-0.0518,-0.0518
22,embedding,-0.0811,-0.0811
23,emphasizes,-0.0369,-0.0369
24,error,-0.0688,-0.0688
25,fact,4.3550,-0.0369
26,fit,-0.0369,-0.0369
27,from,-0.0369,-0.0369
28,function,4.3550,-0.0369
29,functions,4.3550,-0.0369
30,gradient,-0.0579,-0.0579
31,gradients,-0.0369,-0.0369
32,has,-0.0369,-0.0369
33,helps,-0.0369,-0.0369
34,improvement,-0.0369,-0.0369
35,in,-0.0369,-0.0369
36,inference,-0.0982,-0.0982
37,input,4.0094,-0.0688
38,inputs,-0.0369,-0.0369
39,instruct,-0.0369,-0.0369
40,intent,-0.0369,-0.0369
41,is,5.6453,-0.3141
42,itself,4.3550,-0.0369
43,know,-0.0369,-0.0369
44,language,-0.0663,-0.0663
45,large,-0.0579,-0.0579
46,learn,-0.0369,-0.0369
47,learned,-0.0369,-0.0369
48,likelihood,-0.0369,-0.0369
49,maps,-0.0369,-0.0369
50,mathematical,-0.0369,-0.0369
51,meaning,-0.0688,-0.0688
52,mechanism,-0.0369,-0.0369
53,method,-0.0369,-0.0369
54,minimization,-0.0369,-0.0369
55,model,-0.2298,-0.2298
56,network,-0.0811,-0.0811
57,neural,-0.0579,-0.0579
58,next,-0.0369,-0.0369
59,no,-0.0369,-0.0369
60,nonlinear,-0.0369,-0.0369
61,not,3.2470,-0.2022
62,number,-0.0369,-0.0369
63,numeric,-0.1259,-0.1259
64,of,3.8200,-0.1092
65,offset,4.3550,-0.0369
66,on,-0.0369,-0.0369
67,one,6.1087,-0.0518
68,optimization,-0.0369,-0.0369
69,output,-0.0579,-0.0579
70,outputs,4.3550,-0.0369
71,over,-0.0369,-0.0369
72,parameter,4.3550,-0.0369
73,parameters,-0.0982,-0.0982
74,part,-0.0369,-0.0369
75,patterns,-0.0369,-0.0369
76,people,4.3550,-0.0369
77,predicted,-0.0369,-0.0369
78,prediction,5.4126,-0.0811
79,predictor,4.3550,-0.0369
80,predicts,-0.0369,-0.0369
81,probabilities,3.6105,-0.1259
82,probability,-0.0688,-0.0688
83,produces,-0.0518,-0.0518
84,prompt,-0.0982,-0.0982
85,reason,4.3550,-0.0369
86,reduces,-0.0369,-0.0369
87,relevant,-0.0369,-0.0369
88,repeated,-0.0369,-0.0369
89,represents,4.0094,-0.0688
90,scales,-0.0369,-0.0369
91,shifts,4.3550,-0.0369
92,slows,4.3550,-0.0369
93,statistical,-0.0369,-0.0369
94,stops,-0.0369,-0.0369
95,sum,-0.0369,-0.0369
96,sums,4.3550,-0.0369
97,text,7.2722,-0.0616
98,the,-0.0369,-0.0369
99,to,-0.0688,-0.0688
100,token,-0.1726,-0.1726
101,tokens,4.0094,-0.0688
102,trained,-0.0982,-0.0982
103,training,4.8157,3.6266
104,truth,4.3550,-0.0369
105,understand,-0.0369,-0.0369
106,understanding,-0.0369,-0.0369
107,unit,-0.0369,-0.0369
108,updated,-0.0369,-0.0369
109,updates,-0.0369,-0.0369
110,using,4.0413,-0.0688
111,vector,-0.0369,-0.0369
112,weight,-0.0811,-0.0811
113,weighted,-0.0369,-0.0369
114,weighting,-0.0369,-0.0369
115,what,4.3550,-0.0369
116,when,-0.0369,-0.0369
117,word,6.1087,-0.0518
118,zero,-0.0369,-0.0369
